"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Log", "SQL", "comment", "blank", "total"
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\.prettierrc", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\.travis.yml", "YAML", 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\logFile.log", "Log", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\package-lock.json", "JSON", 5969, 0, 0, 0, 0, 0, 0, 1, 5970
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\config\config.js", "JavaScript", 0, 0, 0, 19, 0, 0, 15, 9, 43
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\config\usersTest.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\controllers\app.controller.js", "JavaScript", 0, 0, 0, 83, 0, 0, 55, 29, 167
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\controllers\auth.controller.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 12, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\controllers\ci.controller.js", "JavaScript", 0, 0, 0, 46, 0, 0, 52, 18, 116
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\controllers\platform.controller.js", "JavaScript", 0, 0, 0, 93, 0, 0, 10, 17, 120
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\controllers\provider.controller.js", "JavaScript", 0, 0, 0, 76, 0, 0, 5, 14, 95
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\controllers\user.controller.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\index.db.js", "JavaScript", 0, 0, 0, 70, 0, 0, 4, 35, 109
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\initial.js", "JavaScript", 0, 0, 0, 76, 0, 0, 7, 31, 114
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\Documents\scritpMysqlCreationDB V3.sql", "SQL", 0, 0, 0, 0, 0, 237, 0, 50, 287
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\index.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 47, 114
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\insertHardwares.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 83, 231
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\insertOccurence.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 43, 135
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\insertProviders.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 31, 101
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\insertSofts.js", "JavaScript", 0, 0, 0, 97, 0, 0, 1, 45, 143
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\insertVirtuels.js", "JavaScript", 0, 0, 0, 297, 0, 0, 6, 163, 466
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\loadFiles\instances.js", "JavaScript", 0, 0, 0, 125, 0, 0, 2, 56, 183
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\logger.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\middleware\authJwt.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 11, 62
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\middleware\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\audit.js", "JavaScript", 0, 0, 0, 95, 0, 0, 0, 1, 96
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\auditaction.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\ci.js", "JavaScript", 0, 0, 0, 167, 0, 0, 0, 1, 168
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\ci_application.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\ci_subtype.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\ci_type.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\class_service.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\client.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\client_hardware.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\client_zlinux.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\contact.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 1, 78
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\env_type.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\hardware.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 1, 69
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\hardware_lpar.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\hardware_relation.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\instance.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 1, 87
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\instance_client.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\lpar.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 1, 78
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\occurencesoft.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 1, 78
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\platform.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\provider.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 1, 60
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\provider_platform.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\status.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\systeme.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 1, 78
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\models\zlinux.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 1, 105
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\app.routes.js", "JavaScript", 0, 0, 0, 9, 0, 0, 1, 9, 19
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\auth.routes.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 9, 14
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\ci.routes.js", "JavaScript", 0, 0, 0, 8, 0, 0, 1, 9, 18
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\index.routes.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 8, 23
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\platform.routes.js", "JavaScript", 0, 0, 0, 11, 0, 0, 5, 13, 29
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\provider.routes.js", "JavaScript", 0, 0, 0, 8, 0, 0, 4, 11, 23
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\routes\user.routes.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 9, 18
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\server.js", "JavaScript", 0, 0, 0, 32, 0, 0, 5, 23, 60
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\swagger.json", "JSON", 132, 0, 0, 0, 0, 0, 0, 3, 135
"c:\Users\p62956\OneDrive - NRB\Bureau\Backend\Dev\test_cmdb\src\test.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 6149, 0, 7, 3128, 0, 237, 173, 836, 10530